payment_date,user_id,subscription_type,amount,payment_status
2026-01-22,U4346,monthly,35,성공
2026-01-22,U4349,yearly,294,성공
2026-01-26,U4351,yearly,294,성공
2026-01-20,U4352,monthly,35,성공
2026-01-23,U4353,yearly,294,성공
2026-01-19,U4354,yearly,294,성공
2026-01-21,U4355,yearly,294,성공
2026-01-17,U4357,yearly,294,성공
2026-01-20,U4359,yearly,294,성공
2026-01-27,U4360,yearly,294,성공
2026-01-21,U4364,yearly,294,성공
2026-01-21,U4365,monthly,35,성공
2026-01-20,U4372,yearly,294,성공
2026-01-16,U4377,yearly,294,성공
2026-01-25,U4378,yearly,294,성공
2026-01-23,U4387,monthly,35,성공
2026-01-23,U4390,monthly,35,성공
2026-01-16,U4391,monthly,35,성공
2026-01-17,U4394,yearly,294,성공
2026-01-23,U4395,yearly,294,성공
2026-01-26,U4399,monthly,35,성공
2026-01-23,U4402,yearly,294,성공
2026-01-16,U4403,yearly,294,성공
2026-01-25,U4404,yearly,294,성공
2026-01-15,U4405,yearly,294,성공
2026-01-20,U4408,monthly,35,성공
2026-01-17,U4411,yearly,294,성공
2026-01-21,U4423,yearly,294,성공
2026-01-16,U4425,yearly,294,성공
2026-01-15,U4427,yearly,294,성공
2026-01-27,U4428,yearly,294,성공
2026-01-21,U4433,monthly,35,성공
2026-01-16,U4434,yearly,294,성공
2026-01-25,U4442,monthly,35,성공
2026-01-18,U4444,yearly,294,성공
2026-01-24,U4449,monthly,35,성공
2026-01-23,U4450,yearly,294,성공
2026-01-22,U4456,monthly,35,성공
2026-01-25,U4469,monthly,35,성공
2026-01-22,U4471,yearly,294,성공
2026-01-20,U4472,monthly,35,성공
2026-01-16,U4475,monthly,35,성공
2026-01-16,U4476,yearly,294,성공
2026-01-15,U4477,yearly,294,성공
2026-01-20,U4480,yearly,294,성공
2026-01-19,U4485,monthly,35,성공
2026-01-24,U4492,monthly,35,성공
2026-01-16,U4495,monthly,35,성공
2026-01-25,U4496,yearly,294,성공
2026-01-15,U4497,yearly,294,성공
2026-01-23,U4499,yearly,294,성공
2026-01-15,U4500,yearly,294,성공
2026-01-19,U4501,yearly,294,성공
2026-01-25,U4504,monthly,35,성공
2026-01-25,U4508,monthly,35,성공
2026-01-23,U4511,yearly,294,성공
2026-01-20,U4514,yearly,294,성공
2026-01-25,U4515,yearly,294,성공
2026-01-21,U4516,yearly,294,성공
2026-01-22,U4523,monthly,35,성공
2026-01-21,U4525,yearly,294,성공
2026-01-20,U4526,monthly,35,성공
2026-01-23,U4529,monthly,35,성공
2026-01-19,U4532,monthly,35,성공
2026-01-28,U4533,yearly,294,성공
2026-01-25,U4540,yearly,294,성공
2026-01-28,U4541,yearly,294,성공
2026-01-18,U4544,yearly,294,성공
2026-01-16,U4546,yearly,294,성공
2026-01-16,U4547,yearly,294,성공
2026-01-26,U4548,yearly,294,성공
2026-01-18,U4551,yearly,294,성공
2026-01-19,U4553,monthly,35,성공
2026-01-19,U4557,yearly,294,성공
2026-01-28,U4561,monthly,35,실패
2026-01-24,U4564,monthly,35,성공
2026-01-19,U4574,monthly,35,성공
2026-01-20,U4575,yearly,294,성공
2026-01-26,U4576,yearly,294,성공
2026-01-19,U4578,monthly,35,성공
2026-01-18,U4579,yearly,294,성공
2026-01-16,U4580,yearly,294,성공
2026-01-26,U4582,yearly,294,성공
2026-01-23,U4586,yearly,294,실패
2026-01-21,U4589,monthly,35,성공
2026-01-25,U4590,yearly,294,성공
2026-01-23,U4591,yearly,294,성공
2026-01-18,U4593,monthly,35,성공
2026-01-24,U4594,monthly,35,성공
2026-01-18,U4597,monthly,35,성공
2026-01-20,U4598,yearly,294,성공
2026-01-21,U4599,yearly,294,성공
2026-01-27,U4602,yearly,294,성공
2026-01-15,U4606,yearly,294,성공
2026-01-16,U4616,monthly,35,성공
2026-01-24,U4617,yearly,294,성공
2026-01-15,U4619,yearly,294,성공
2026-01-17,U4624,monthly,35,성공
2026-01-25,U4627,monthly,35,성공
2026-01-16,U4629,yearly,294,성공
2026-01-20,U4631,yearly,294,성공
2026-01-17,U4633,yearly,294,성공
2026-01-21,U4634,monthly,35,성공
2026-01-16,U4635,monthly,35,성공
2026-01-16,U4640,yearly,294,성공
2026-01-25,U4641,monthly,35,성공
2026-01-17,U4643,yearly,294,성공
2026-01-24,U4644,monthly,35,성공
2026-01-26,U4645,monthly,35,성공
2026-01-24,U4646,yearly,294,성공
2026-01-27,U4649,yearly,294,성공
2026-01-26,U4650,yearly,294,성공
2026-01-19,U4653,yearly,294,성공
2026-01-27,U4655,yearly,294,성공
2026-01-17,U4659,yearly,294,성공
2026-01-16,U4660,monthly,35,성공
2026-01-27,U4661,yearly,294,성공
2026-01-15,U4662,yearly,294,성공
2026-01-19,U4664,yearly,294,성공
2026-01-18,U4665,monthly,35,성공
2026-01-23,U4668,yearly,294,성공
2026-01-15,U4670,yearly,294,성공
2026-01-20,U4672,monthly,35,성공
2026-01-20,U4677,yearly,294,성공
2026-01-26,U4679,monthly,35,성공
2026-01-18,U4681,monthly,35,성공
2026-01-20,U4682,yearly,294,성공
2026-01-19,U4684,yearly,294,성공
2026-01-27,U4685,monthly,35,성공
2026-01-16,U4686,yearly,294,성공
2026-01-15,U4687,yearly,294,성공
2026-01-21,U4689,monthly,35,성공
2026-01-16,U4692,monthly,35,성공
2026-01-16,U4694,yearly,294,성공
2026-01-15,U4696,monthly,35,성공
2026-01-22,U4698,monthly,35,성공
2026-01-23,U4699,monthly,35,성공
2026-01-15,U4702,monthly,35,성공
2026-01-26,U4703,monthly,35,성공
2026-01-27,U4705,yearly,294,성공
2026-01-24,U4709,monthly,35,성공
2026-01-23,U4711,yearly,294,성공
2026-01-26,U4717,yearly,294,성공
2026-01-28,U4718,yearly,294,성공
2026-01-20,U4722,yearly,294,성공
2026-01-26,U4730,yearly,294,성공
2026-01-28,U4732,monthly,35,성공
2026-01-19,U4736,yearly,294,성공
2026-01-24,U4738,monthly,35,성공
2026-01-25,U4739,monthly,35,성공
2026-01-21,U4750,yearly,294,성공
2026-01-23,U4752,yearly,294,성공
2026-01-27,U4755,yearly,294,성공
2026-01-25,U4758,yearly,294,성공
2026-01-18,U4759,monthly,35,실패
2026-01-18,U4759,monthly,35,실패
2026-01-27,U4762,yearly,294,성공
2026-01-21,U4765,yearly,294,성공
2026-01-21,U4767,yearly,294,성공
2026-01-24,U4768,yearly,294,성공
2026-01-19,U4769,yearly,294,성공
2026-01-23,U4770,yearly,294,성공
2026-01-21,U4777,yearly,294,성공
2026-01-16,U4778,yearly,294,성공
2026-01-19,U4780,yearly,294,성공
2026-01-18,U4784,yearly,294,성공
2026-01-23,U4787,monthly,35,성공
2026-01-22,U4791,yearly,294,성공
2026-01-18,U4794,monthly,35,성공
2026-01-22,U4796,yearly,294,성공
2026-01-21,U4802,yearly,294,성공
2026-01-23,U4804,yearly,294,성공
2026-01-20,U4811,monthly,35,성공
2026-01-22,U4813,yearly,294,성공
2026-01-21,U4815,monthly,35,성공
2026-01-26,U4817,monthly,35,성공
2026-01-21,U4818,yearly,294,성공
2026-01-21,U4821,yearly,294,성공
2026-01-17,U4823,yearly,294,실패
2026-01-17,U4823,yearly,294,실패
2026-01-26,U4828,yearly,294,성공
2026-01-28,U4829,yearly,294,성공
2026-01-18,U4830,monthly,35,성공
2026-01-19,U4832,monthly,35,성공
2026-01-20,U4834,yearly,294,성공
2026-01-19,U4835,yearly,294,성공
2026-01-21,U4840,yearly,294,성공
2026-01-16,U4842,yearly,294,성공
2026-01-18,U4843,monthly,35,성공
2026-01-28,U4844,monthly,35,성공
2026-01-15,U4850,yearly,294,성공
2026-01-20,U4853,yearly,294,성공
2026-01-16,U4854,monthly,35,성공
2026-01-19,U4857,yearly,294,성공
2026-01-20,U4859,monthly,35,성공
2026-01-26,U4864,yearly,294,성공
2026-01-25,U4870,monthly,35,성공
2026-01-18,U4875,yearly,294,성공
2026-01-15,U4876,monthly,35,성공
2026-01-18,U4878,yearly,294,성공
2026-01-20,U4880,yearly,294,성공
2026-01-22,U4883,yearly,294,성공
2026-01-23,U4885,yearly,294,성공
2026-01-26,U4886,yearly,294,성공
2026-01-17,U4890,yearly,294,성공
2026-01-19,U4898,yearly,294,성공
2026-01-17,U4899,monthly,35,성공
2026-01-22,U4905,yearly,294,성공
2026-01-15,U4909,yearly,294,성공
2026-01-20,U4910,monthly,35,성공
2026-01-18,U4913,yearly,294,성공
2026-01-24,U4915,yearly,294,성공
2026-01-19,U4920,yearly,294,성공
2026-01-16,U4921,yearly,294,성공
2026-01-15,U4929,monthly,35,성공
2026-01-26,U4931,monthly,35,성공
2026-01-17,U4932,monthly,35,성공
2026-01-20,U4933,yearly,294,성공
2026-01-18,U4935,yearly,294,성공
2026-01-15,U4937,yearly,294,성공
2026-01-22,U4940,yearly,294,성공
2026-01-17,U4941,yearly,294,성공
2026-01-19,U4942,yearly,294,성공
2026-01-17,U4944,yearly,294,성공
2026-01-16,U4946,monthly,35,성공
2026-01-25,U4951,yearly,294,성공
2026-01-18,U4953,yearly,294,성공
2026-01-23,U4954,monthly,35,성공
2026-01-26,U4957,yearly,294,성공
2026-01-26,U4959,monthly,35,성공
2026-01-23,U4960,monthly,35,성공
2026-01-19,U4962,monthly,35,성공
2026-01-28,U4964,yearly,294,성공
2026-01-28,U4974,monthly,35,성공
2026-01-20,U4975,yearly,294,성공
2026-01-19,U4976,yearly,294,성공
2026-01-21,U4977,yearly,294,성공
2026-01-26,U4978,yearly,294,성공
2026-01-24,U4985,yearly,294,성공
2026-01-26,U4987,yearly,294,성공
2026-01-27,U4988,yearly,294,성공
2026-01-21,U4993,yearly,294,성공
2026-01-19,U4998,yearly,294,성공
